ETHOpen,ETHHigh,ETHLow,TBondsOpenValue,IndexFutures,InflationRateValue,UnemploymentValue,FedFundRateValue,GDP,SandPValue,BTCOpen,ETHOpenTM1,ETHOpenTM2,ETHOpenTM3,ETHOpenTM4,ETHOpenTM5,ETHOpenTM6,ETHOpenTM7,BTCOpenTM1,BTCOpenTM2,BTCOpenTM3,BTCOpenTM4,BTCOpenTM5,BTCOpenTM6,BTCOpenTM7,Date
5.431886258469452,5.454979176561413,5.366209632590955,5.041406952763009,4.576101763490744,0.7884573603642703,1.4586150226995167,-0.18632957819149348,9.829254187905713,7.787796878181171,228.58,5.431886258469452,5.432148714181557,5.432148714181557,5.396804313262691,5.501094931909374,5.5124201732100975,5.576933466986071,5.431886258469452,5.432148714181557,5.432148714181557,5.396804313262691,5.501094931909374,5.5124201732100975,5.576933466986071,2017-05-31
5.431886258469452,5.454979176561413,5.366209632590955,5.041406952763009,4.576101763490744,0.6270073780554002,1.4586150226995167,-0.18632957819149348,9.829254187905713,7.787796878181171,228.58,5.432148714181557,5.432148714181557,5.396804313262691,5.501094931909374,5.5124201732100975,5.576933466986071,5.5442786031426925,5.432148714181557,5.432148714181557,5.396804313262691,5.501094931909374,5.5124201732100975,5.576933466986071,5.5442786031426925,2017-05-31
5.432148714181557,5.461795835540512,5.337538079701318,5.043223483689407,4.572026967394837,0.6270073780554002,1.4586150226995167,-0.09431067947124129,9.829254187905713,7.788667506954475,228.64,5.432148714181557,5.396804313262691,5.501094931909374,5.5124201732100975,5.576933466986071,5.5442786031426925,5.558409821640448,5.432148714181557,5.396804313262691,5.501094931909374,5.5124201732100975,5.576933466986071,5.5442786031426925,5.558409821640448,2017-06-01
5.432148714181557,5.461795835540512,5.337538079701318,5.043223483689407,4.572026967394837,0.6270073780554002,1.4816045409242156,-0.09431067947124129,9.829254187905713,7.788667506954475,228.64,5.396804313262691,5.501094931909374,5.5124201732100975,5.576933466986071,5.5442786031426925,5.558409821640448,5.828003997954946,5.396804313262691,5.501094931909374,5.5124201732100975,5.576933466986071,5.5442786031426925,5.558409821640448,5.828003997954946,2017-06-01
5.396804313262691,5.428072889540573,5.3796208176120714,5.042820095220847,4.574298522321004,0.6270073780554002,1.4816045409242156,-0.09431067947124129,9.829254187905713,7.795481913731539,220.7,5.501094931909374,5.5124201732100975,5.576933466986071,5.5442786031426925,5.558409821640448,5.828003997954946,5.9780246347412795,5.501094931909374,5.5124201732100975,5.576933466986071,5.5442786031426925,5.558409821640448,5.828003997954946,5.9780246347412795,2017-06-02
5.501094931909374,5.515925626363569,5.486869473092628,5.051657268619177,4.569232079182462,0.6270073780554002,1.4816045409242156,-0.09431067947124129,9.829254187905713,7.797291273547472,244.96,5.5124201732100975,5.576933466986071,5.5442786031426925,5.558409821640448,5.828003997954946,5.9780246347412795,5.961237271487885,5.5124201732100975,5.576933466986071,5.5442786031426925,5.558409821640448,5.828003997954946,5.9780246347412795,5.961237271487885,2017-06-05
5.5124201732100975,5.591434641489757,5.5073619934827445,5.047850793022399,4.56990563688778,0.6270073780554002,1.4816045409242156,-0.09431067947124129,9.829254187905713,7.796880342783522,247.75,5.576933466986071,5.5442786031426925,5.558409821640448,5.828003997954946,5.9780246347412795,5.961237271487885,5.8401764328942,5.576933466986071,5.5442786031426925,5.558409821640448,5.828003997954946,5.9780246347412795,5.961237271487885,5.8401764328942,2017-06-06
5.576933466986071,5.578974824062853,5.506022354173055,5.052256968787075,4.567624069914121,0.6270073780554002,1.4816045409242156,-0.09431067947124129,9.829254187905713,7.79642812381962,264.26,5.5442786031426925,5.558409821640448,5.828003997954946,5.9780246347412795,5.961237271487885,5.8401764328942,5.842616450371566,5.5442786031426925,5.558409821640448,5.828003997954946,5.9780246347412795,5.961237271487885,5.8401764328942,5.842616450371566,2017-06-07
5.5442786031426925,5.5636387927611155,5.525014596061544,5.048252157667562,4.569076578339852,0.6270073780554002,1.4816045409242156,-0.09431067947124129,9.829254187905713,7.796222502121694,255.77,5.558409821640448,5.828003997954946,5.9780246347412795,5.961237271487885,5.8401764328942,5.842616450371566,5.862295056115144,5.558409821640448,5.828003997954946,5.9780246347412795,5.961237271487885,5.8401764328942,5.842616450371566,5.862295056115144,2017-06-08
5.558409821640448,5.6317134480804985,5.558217057987366,5.049254865061311,4.575020209037208,0.6270073780554002,1.4816045409242156,-0.09431067947124129,9.829254187905713,7.798317862283561,259.41,5.828003997954946,5.9780246347412795,5.961237271487885,5.8401764328942,5.842616450371566,5.862295056115144,5.881091489626612,5.828003997954946,5.9780246347412795,5.961237271487885,5.8401764328942,5.842616450371566,5.862295056115144,5.881091489626612,2017-06-09
5.828003997954946,6.033589692158629,5.742971136013778,5.047047580127811,4.57491714281707,0.6270073780554002,1.4816045409242156,-0.09431067947124129,9.829254187905713,7.793999089503996,339.68,5.9780246347412795,5.961237271487885,5.8401764328942,5.842616450371566,5.862295056115144,5.881091489626612,5.85944629482327,5.9780246347412795,5.961237271487885,5.8401764328942,5.842616450371566,5.862295056115144,5.881091489626612,5.85944629482327,2017-06-12
5.9780246347412795,5.990213765206329,5.885270350701578,5.0456404032949465,4.573782712746459,0.6270073780554002,1.4816045409242156,-0.09431067947124129,9.829254187905713,7.798112628829788,394.66,5.961237271487885,5.8401764328942,5.842616450371566,5.862295056115144,5.881091489626612,5.85944629482327,5.784747833479305,5.961237271487885,5.8401764328942,5.842616450371566,5.862295056115144,5.881091489626612,5.85944629482327,5.784747833479305,2017-06-13
